codigo_fake	codigo	descricao	data_inicio_fake	data_inicio	data_fim_fake	data_fim
100100	100100	Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores	1012018	01012018		
100200	100200	Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos	1012018	01012018		
100300	100300	Protetores de caçamba	1012018	01012018		
100400	100400	Reservatórios de óleo	1012018	01012018		
100500	100500	Frisos, decalques, molduras e acabamentos	1012018	01012018		
100600	100600	Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias	1012018	01012018		
100700	100700	Juntas, gaxetas e outros elementos com função semelhante de vedação	1012018	01012018		
100800	100800	Partes de veículos automóveis, tratores e máquinas autopropulsadas	1012018	01012018		
100900	100900	Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins	1012018	01012018		
101000	101000	Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico	1012018	01012018		
101100	101100	Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias	1012018	01012018		
101200	101200	Encerados e toldos	1012018	01012018		
101300	101300	Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores	1012018	01012018		
101400	101400	Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias	1012018	01012018		
101500	101500	Vidros de dimensões e formatos que permitam aplicação automotiva	1012018	01012018		
101600	101600	Espelhos retrovisores	1012018	01012018		
101700	101700	Lentes de faróis, lanternas e outros utensílios	1012018	01012018		
101800	101800	Cilindro de aço para GNV (gás natural veicular)	1012018	01012018		
101900	101900	Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0	1012018	01012018		
102000	102000	Molas e folhas de molas, de ferro ou aço	1012018	01012018		
102100	102100	Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00	1012018	01012018		
102200	102200	Peso de chumbo para balanceamento de roda	1012018	01012018		
102300	102300	Peso para balanceamento de roda e outros utensílios de estanho	1012018	01012018		
102400	102400	Fechaduras e partes de fechaduras	1012018	01012018		
102500	102500	Chaves apresentadas isoladamente	1012018	01012018		
102600	102600	Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns	1012018	01012018		
102700	102700	Triângulo de segurança	1012018	01012018		
102800	102800	Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87	1012018	01012018		
102900	102900	Motores dos tipos utilizados para propulsão de veículos automotores	1012018	01012018		
103000	103000	Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408	1012018	01012018		
103100	103100	Motores hidráulicos	1012018	01012018		
103200	103200	Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão	1012018	01012018		
103300	103300	Bombas de vácuo	1012018	01012018		
103400	103400	Compressores e turbocompressores de ar	1012018	01012018		
103500	103500	Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00	1012018	01012018		
103600	103600	Máquinas e aparelhos de ar condicionado	1012018	01012018		
103700	103700	Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão	1012018	01012018		
103800	103800	Filtros a vácuo	1012018	01012018		
103900	103900	Partes dos aparelhos para filtrar ou depurar líquidos ou gases	1012018	01012018		
104000	104000	Extintores, mesmo carregados	1012018	01012018		
104100	104100	Filtros de entrada de ar para motores de ignição por centelha ou por compressão	1012018	01012018		
104200	104200	Depuradores por conversão catalítica de gases de escape	1012018	01012018		
104300	104300	Macacos	1012018	01012018		
104400	104400	Partes para macacos do CEST 01.043.00	1012018	01012018		
104500	104500	Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias	1012018	01012018		
104501	104501	Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias	1012018	01012018		
104600	104600	Válvulas redutoras de pressão	1012018	01012018		
104700	104700	Válvulas para transmissão óleo-hidráulicas ou pneumáticas	1012018	01012018		
104800	104800	Válvulas solenoides	1012018	01012018		
104900	104900	Rolamentos	1012018	01012018		
105000	105000	Árvores de transmissão e manivelas mancais e “bronzes”, engrenagens e rodas de fricção eixos de esferas ou de roletes redutores, multiplicadores, caixas de transmissão e variadores de velocidade, conversores de torque volantes e polias, polias cadernais embreagens e dispositivos de acoplamento,juntas de articulação	1012018	01012018		
105100	105100	Juntas metaloplásticas jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes juntas de vedação mecânicas (selos mecânicos)	1012018	01012018		
105200	105200	Acoplamentos, embreagens, variadores de velocidade e freios, eletromagnéticos	1012018	01012018		
