codigo	unidade	data_publicacao	data_validade	descricao_unidade	
1012100	UN	01/01/2016		Unidade	
1012900	UN	01/01/2016		Unidade	
1013000	UN	01/01/2016		Unidade	
1019000	UN	01/01/2016		Unidade	
1022110	UN	01/01/2016		Unidade	
1022190	UN	01/01/2016		Unidade	
1022911	UN	01/01/2016		Unidade	
1022919	UN	01/01/2016		Unidade	
1022990	UN	01/01/2016		Unidade	
1023110	UN	01/01/2016		Unidade	
1023190	UN	01/01/2016		Unidade	
1023911	UN	01/01/2016		Unidade	
1023919	UN	01/01/2016		Unidade	
1023990	UN	01/01/2016		Unidade	
1029000	UN	01/01/2016		Unidade	
1031000	UN	01/01/2016		Unidade	
1039100	UN	01/01/2016		Unidade	
1039200	UN	01/01/2016		Unidade	
1041011	UN	01/01/2016		Unidade	
1041019	UN	01/01/2016		Unidade	
1041090	UN	01/01/2016		Unidade	
1042010	UN	01/01/2016		Unidade	
1042090	UN	01/01/2016		Unidade	
1051110	UN	01/01/2016		Unidade	
1051190	UN	01/01/2016		Unidade	
1051200	UN	01/01/2016		Unidade	
1051300	UN	01/01/2016		Unidade	
1051400	UN	01/01/2016		Unidade	
1051500	UN	01/01/2016		Unidade	
1059400	UN	01/01/2016		Unidade	
1059900	UN	01/01/2016		Unidade	
1061100	UN	01/01/2016		Unidade	
1061200	UN	01/01/2016		Unidade	
1061300	UN	01/01/2016		Unidade	
1061400	UN	01/01/2016		Unidade	
1061900	UN	01/01/2016		Unidade	
1062000	UN	01/01/2016		Unidade	
1063100	UN	01/01/2016		Unidade	
1063200	UN	01/01/2016		Unidade	
1063310	UN	01/01/2016		Unidade	
1063390	UN	01/01/2016		Unidade	
1063900	UN	01/01/2016		Unidade	
1064100	KG	01/01/2016		Quilograma	
1064900	KG	01/01/2016		Quilograma	
1069000	UN	01/01/2016		Unidade	
2011000	KG	01/01/2016		Quilograma	
2012010	KG	01/01/2016		Quilograma	
2012020	KG	01/01/2016		Quilograma	
2012090	KG	01/01/2016		Quilograma	
2013000	KG	01/01/2016		Quilograma	
2021000	KG	01/01/2016		Quilograma	
2022010	KG	01/01/2016		Quilograma	
2022020	KG	01/01/2016		Quilograma	
2022090	KG	01/01/2016		Quilograma	
2023000	KG	01/01/2016		Quilograma	
2031100	KG	01/01/2016		Quilograma	
2031200	KG	01/01/2016		Quilograma	
2031900	KG	01/01/2016		Quilograma	
2032100	KG	01/01/2016		Quilograma	
2032200	KG	01/01/2016		Quilograma	
2032900	KG	01/01/2016		Quilograma	
2041000	KG	01/01/2016		Quilograma	
2042100	KG	01/01/2016		Quilograma	
2042200	KG	01/01/2016		Quilograma	
2042300	KG	01/01/2016		Quilograma	
2043000	KG	01/01/2016		Quilograma	
2044100	KG	01/01/2016		Quilograma	
2044200	KG	01/01/2016		Quilograma	
2044300	KG	01/01/2016		Quilograma	
2045000	KG	01/01/2016		Quilograma	
2050000	KG	01/01/2016		Quilograma	
2061000	KG	01/01/2016		Quilograma	
2062100	KG	01/01/2016		Quilograma	
2062200	KG	01/01/2016		Quilograma	
2062910	KG	01/01/2016		Quilograma	
2062990	KG	01/01/2016		Quilograma	
2063000	KG	01/01/2016		Quilograma	
2064100	KG	01/01/2016		Quilograma	
2064900	KG	01/01/2016		Quilograma	
2068000	KG	01/01/2016		Quilograma	
2069000	KG	01/01/2016		Quilograma	
2071100	KG	01/01/2016		Quilograma	
2071200	KG	01/01/2016		Quilograma	
2071300	KG	01/01/2016		Quilograma	
2071400	KG	01/01/2016		Quilograma	
2072400	KG	01/01/2016		Quilograma	
2072500	KG	01/01/2016		Quilograma	
2072600	KG	01/01/2016		Quilograma	
2072700	KG	01/01/2016		Quilograma	
2074100	KG	01/01/2016		Quilograma	
2074200	KG	01/01/2016		Quilograma	
2074300	KG	01/01/2016		Quilograma	
2074400	KG	01/01/2016		Quilograma	
2074500	KG	01/01/2016		Quilograma	
2075100	KG	01/01/2016		Quilograma	
2075200	KG	01/01/2016		Quilograma	
2075300	KG	01/01/2016		Quilograma	
2075400	KG	01/01/2016		Quilograma	
2075500	KG	01/01/2016		Quilograma	
2076000	KG	01/01/2016		Quilograma	
2081000	KG	01/01/2016		Quilograma	
2083000	KG	01/01/2016		Quilograma	
2084000	KG	01/01/2016		Quilograma	
2085000	KG	01/01/2016		Quilograma	
2086000	KG	01/01/2016		Quilograma	
2089000	KG	01/01/2016		Quilograma	
2091011	KG	01/01/2016		Quilograma	
2091019	KG	01/01/2016		Quilograma	
2091021	KG	01/01/2016		Quilograma	
2091029	KG	01/01/2016		Quilograma	
2099000	KG	01/01/2016		Quilograma	
2101100	KG	01/01/2016		Quilograma	
2101200	KG	01/01/2016		Quilograma	
2101900	KG	01/01/2016		Quilograma	
2102000	KG	01/01/2016		Quilograma	
2109100	KG	01/01/2016		Quilograma	
2109200	KG	01/01/2016		Quilograma	
2109300	KG	01/01/2016		Quilograma	
2109900	KG	01/01/2016		Quilograma	
3011110	UN	01/01/2016		Unidade	
3011190	UN	01/01/2016		Unidade	
3011900	UN	01/01/2016		Unidade	
3019110	KG	01/01/2016		Quilograma	
3019190	KG	01/01/2016		Quilograma	
3019210	KG	01/01/2016		Quilograma	
3019290	KG	01/01/2016		Quilograma	
3019310	KG	01/01/2016		Quilograma	
3019390	KG	01/01/2016		Quilograma	
3019410	KG	01/01/2016		Quilograma	
3019490	KG	01/01/2016		Quilograma	
3019510	KG	01/01/2016		Quilograma	
3019590	KG	01/01/2016		Quilograma	
3019911	KG	01/01/2016		Quilograma	
3019912	KG	01/01/2016		Quilograma	
3019919	KG	01/01/2016		Quilograma	
3019991	KG	01/01/2016		Quilograma	
3019992	KG	01/01/2016		Quilograma	
3019999	KG	01/01/2016		Quilograma	
3021100	KG	01/01/2016		Quilograma	
3021300	KG	01/01/2016		Quilograma	
3021400	KG	01/01/2016		Quilograma	
3021900	KG	01/01/2016		Quilograma	
3022100	KG	01/01/2016		Quilograma	
3022200	KG	01/01/2016		Quilograma	
3022300	KG	01/01/2016		Quilograma	
3022400	KG	01/01/2016		Quilograma	
3022900	KG	01/01/2016		Quilograma	
3023100	KG	01/01/2016		Quilograma	
3023200	KG	01/01/2016		Quilograma	
3023300	KG	01/01/2016		Quilograma	
3023400	KG	01/01/2016		Quilograma	
3023500	KG	01/01/2016		Quilograma	
3023600	KG	01/01/2016		Quilograma	
3023900	KG	01/01/2016		Quilograma	
3024100	KG	01/01/2016		Quilograma	
3024210	KG	01/01/2016		Quilograma	
3024290	KG	01/01/2016		Quilograma	
3024300	KG	01/01/2016		Quilograma	
3024400	KG	01/01/2016		Quilograma	
3024500	KG	01/01/2016		Quilograma	
3024600	KG	01/01/2016		Quilograma	
3024700	KG	01/01/2016		Quilograma	
3024910	KG	01/01/2017		Quilograma	
3024990	KG	01/01/2017		Quilograma	
3025100	KG	01/01/2016		Quilograma	
3025200	KG	01/01/2016		Quilograma	
3025300	KG	01/01/2016		Quilograma	
3025400	KG	01/01/2016		Quilograma	
3025500	KG	01/01/2016		Quilograma	
3025600	KG	01/01/2016		Quilograma	
