COD|DESCRICAO DO BANCO|EMAIL DO BANCO
654|Banco A.J.Renner S.A.|www.bancorenner.com.br
001|Banco do Brasil S.A.|www.bb.com.br
003|Banco da Amazônia S.A.|www.bancoamazonia.com.br
004|Banco do Nordeste do Brasil S.A.|www.banconordeste.gov.br
007|Banco Nacional de Desenvolvimento Econômico e Social|www.bndes.gov.br
012|Banco INBURSA de Investimentos S.A.|www.bancoinbursa.com
014|Natixis Brasil S.A. Banco Múltiplo|www.br.natixis.com
017|BNY Mellon Banco S.A.|www.bnymellon.com.br
018|Banco Tricury S.A.|www.bancotricury.com.br
021|BANESTES S.A. Banco do Estado do Espírito Santo|www.banestes.com.br
024|Banco BANDEPE S.A.|www.santander.com.br
025|Banco Alfa S.A.|www.bancoalfa.com.br
029|Banco Itaú BMG Consignado S.A.|
033|Banco Santander (Brasil) S.A.|www.santander.com.br
036|Banco Bradesco BBI S.A.|Não possui site
037|Banco do Estado do Pará S.A.|www.banparanet.com.br
040|Banco Cargill S.A.|www.bancocargill.com.br
041|Banco do Estado do Rio Grande do Sul S.A.|www.banrisul.com.br
047|Banco do Estado de Sergipe S.A.|www.banese.com.br
062|Hipercard Banco Múltiplo S.A.|www.hipercard.com.br
063|Banco Bradescard S.A.|www.ibi.com.br
064|Goldman Sachs do Brasil Banco Múltiplo S.A.|www.goldmansachs.com
065|Banco Andbank (Brasil) S.A.|www.andbank-lla.com.br
066|Banco Morgan Stanley S.A.|www.morganstanley.com.br
069|Banco BPN Brasil S.A.|www.bpnbrasil.com.br
070|BRB - Banco de Brasília S.A.|www.brb.com.br
074|Banco J. Safra S.A.|www.safra.com.br
075|Banco ABN AMRO S.A.|www.abnamro.com
076|Banco KDB S.A.|www.bancokdb.com.br
077|Banco Intermedium S.A.|www.intermedium.com.br
078|Haitong Banco de Investimento do Brasil S.A.|www.haitongib.com.br
079|Banco Original do Agronegócio S.A.|www.original.com.br
081|BBN Banco Brasileiro de Negócios S.A.|www.rendimento.com.br
082|Banco Topázio S.A.|www.bancotopazio.com.br
083|Banco da China Brasil S.A.|www.boc-brazil.com
084|Uniprime Norte do Paraná - Coop de Economia e Crédito Mútuo dos Médicos, Profissionais das Ciências|
092|Brickell S.A. Crédito, Financiamento e Investimento|
094|Banco Finaxis S.A.|www.bancofinaxis.com.br
