Códig CNAE|Descrição do CNAE|Tipo de Atividade Econômica|O CNAE está no Simples?|Anexo Simples Nacional|Alíquota (%) de Imposto|Precisa de Inscrição Estadual?|Observação sobre a Inscrição
0111-3/01|Cultivo de arroz||Sim|I|0,04|Sim|
0111-3/02|Cultivo de milho||Sim|I|0,04|Sim|
0111-3/03|Cultivo de trigo||Sim|I|0,04|Sim|
0111-3/99|Cultivo de outros cereais Não especificados anteriormente||Sim|I|0,04|Sim|
0112-1/01|Cultivo de algodão herbáceo||Sim|I|0,04|Sim|
0112-1/02|Cultivo de juta||Sim|I|0,04|Sim|
0112-1/99|Cultivo de outras fibras de lavoura temporária Não especificadas anteriormente||Sim|I|0,04|Sim|
0113-0/00|Cultivo de cana-de-açúcar||Sim|I|0,04|Sim|
0114-8/00|Cultivo de fumo||Sim|I|0,04|Sim|
0115-6/00|Cultivo de soja||Sim|I|0,04|Sim|
0116-4/01|Cultivo de amendoim||Sim|I|0,04|Sim|
0116-4/02|Cultivo de girassol||Sim|I|0,04|Sim|
0116-4/03|Cultivo de mamona||Sim|I|0,04|Sim|
0116-4/99|Cultivo de outras oleaginosas de lavoura temporária Não especificadas anteriormente||Sim|I|0,04|Sim|
0119-9/01|Cultivo de abacaxi||Sim|I|0,04|Sim|
0119-9/02|Cultivo de alho||Sim|I|0,04|Sim|
0119-9/03|Cultivo de batata-inglesa||Sim|I|0,04|Sim|
0119-9/04|Cultivo de cebola||Sim|I|0,04|Sim|
0119-9/05|Cultivo de feijão||Sim|I|0,04|Sim|
0119-9/06|Cultivo de mandioca||Sim|I|0,04|Sim|
0119-9/07|Cultivo de melão||Sim|I|0,04|Sim|
0119-9/08|Cultivo de melancia||Sim|I|0,04|Sim|
0119-9/09|Cultivo de tomate rasteiro||Sim|I|0,04|Sim|
0119-9/99|Cultivo de outras plantas de lavoura temporária Não especificadas anteriormente||Sim|I|0,04|Sim|
0121-1/01|Horticultura, exceto morango||Sim|I|0,04|Sim|
0121-1/02|Cultivo de morango||Sim|I|0,04|Sim|
0122-9/00|Cultivo de flores e plantas ornamentais||Sim|I|0,04|Sim|
0131-8/00|Cultivo de laranja||Sim|I|0,04|Sim|
0132-6/00|Cultivo de uva||Sim|I|0,04|Sim|
0133-4/01|Cultivo de açaí||Sim|I|0,04|Sim|
0133-4/02|Cultivo de banana||Sim|I|0,04|Sim|
0133-4/03|Cultivo de caju||Sim|I|0,04|Sim|
0133-4/04|Cultivo de cítricos, exceto laranja||Sim|I|0,04|Sim|
0133-4/05|Cultivo de coco-da-baía||Sim|I|0,04|Sim|
0133-4/06|Cultivo de guaraná||Sim|I|0,04|Sim|
0133-4/07|Cultivo de maçã||Sim|I|0,04|Sim|
0133-4/08|Cultivo de mamão||Sim|I|0,04|Sim|
0133-4/09|Cultivo de maracujá||Sim|I|0,04|Sim|
0133-4/10|Cultivo de manga||Sim|I|0,04|Sim|
0133-4/11|Cultivo de pêssego||Sim|I|0,04|Sim|
0133-4/99|Cultivo de frutas de lavoura permanente Não especificadas anteriormente||Sim|I|0,04|Sim|
0134-2/00|Cultivo de café||Sim|I|0,04|Sim|
0135-1/00|Cultivo de cacau||Sim|I|0,04|Sim|
0139-3/01|Cultivo de chá-da-índia||Sim|I|0,04|Sim|
0139-3/02|Cultivo de erva-mate||Sim|I|0,04|Sim|
0139-3/03|Cultivo de pimenta-do-reino||Sim|I|0,04|Sim|
0139-3/04|Cultivo de plantas para condimento, exceto pimenta-do-reino||Sim|I|0,04|Sim|
0139-3/05|Cultivo de dendê||Sim|I|0,04|Sim|
0139-3/06|Cultivo de seringueira||Sim|I|0,04|Sim|
0139-3/99|Cultivo de outras plantas de lavoura permanente Não especificadas anteriormente||Sim|I|0,04|Sim|
0141-5/01|Produção de sementes certificadas, exceto de forrageiras para pasto||Sim|I|0,04|Sim|
0141-5/02|Produção de sementes certificadas de forrageiras para formação de pasto||Sim|I|0,04|Sim|
0142-3/00|Produção de mudas e outras formas de propagação vegetal, certificadas||Sim|I|0,04|Sim|
0151-2/01|Criação de bovinos para corte||Sim|I|0,04|Sim|
0151-2/02|Criação de bovinos para leite||Sim|I|0,04|Sim|
0151-2/03|Criação de bovinos, exceto para corte e leite||Sim|I|0,04|Sim|
0152-1/01|Criação de bufalinos||Sim|I|0,04|Sim|
0152-1/02|Criação de eqüinos||Sim|I|0,04|Sim|
0152-1/03|Criação de asininos e muares||Sim|I|0,04|Sim|
0153-9/01|Criação de caprinos||Sim|I|0,04|Sim|
0153-9/02|Criação de ovinos, inclusive para produção de lã||Sim|I|0,04|Sim|
0154-7/00|Criação de suínos||Sim|I|0,04|Sim|
0155-5/01|Criação de frangos para corte||Sim|I|0,04|Sim|
0155-5/02|Produção de pintos de um dia||Sim|I|0,04|Sim|
0155-5/03|Criação de outros galináceos, exceto para corte||Sim|I|0,04|Sim|
0155-5/04|Criação de aves, exceto galináceos||Sim|I|0,04|Sim|
0155-5/05|Produção de ovos||Sim|I|0,04|Sim|
0159-8/01|Apicultura||Sim|I|0,04|Sim|
