id	codigo	descricao	data_publicacao_fake	data_publicacao
	5300108	Brasília	1012009	01-01-2009
	1400050	Alto Alegre	1012009	01-01-2009
	1400027	Amajari	1012009	01-01-2009
	1400100	Boa Vista	1012009	01-01-2009
	1400159	Bonfim	1012009	01-01-2009
	1400175	Cantá	1012009	01-01-2009
	1400209	Caracaraí	1012009	01-01-2009
	1400233	Caroebe	1012009	01-01-2009
	1400282	Iracema	1012009	01-01-2009
	1400308	Mucajaí	1012009	01-01-2009
	1400407	Normandia	1012009	01-01-2009
	1400456	Pacaraima	1012009	01-01-2009
	1400472	Rorainópolis	1012009	01-01-2009
	1400506	São João da Baliza	1012009	01-01-2009
	1400605	São Luiz	1012009	01-01-2009
	1400704	Uiramutã	1012009	01-01-2009
	1600105	Amapá	1012009	01-01-2009
	1600204	Calçoene	1012009	01-01-2009
	1600212	Cutias	1012009	01-01-2009
	1600238	Ferreira Gomes	1012009	01-01-2009
	1600253	Itaubal	1012009	01-01-2009
	1600279	Laranjal do Jari	1012009	01-01-2009
	1600303	Macapá	1012009	01-01-2009
	1600402	Mazagão	1012009	01-01-2009
	1600501	Oiapoque	1012009	01-01-2009
	1600154	Pedra Branca do Amapari	1012009	01-01-2009
	1600535	Porto Grande	1012009	01-01-2009
	1600550	Pracuúba	1012009	01-01-2009
	1600600	Santana	1012009	01-01-2009
	1600055	Serra do Navio	1012009	01-01-2009
	1600709	Tartarugalzinho	1012009	01-01-2009
	1600808	Vitória do Jari	1012009	01-01-2009
	1200013	Acrelândia	1012009	01-01-2009
	1200054	Assis Brasil	1012009	01-01-2009
	1200104	Brasiléia	1012009	01-01-2009
	1200138	Bujari	1012009	01-01-2009
	1200179	Capixaba	1012009	01-01-2009
	1200203	Cruzeiro do Sul	1012009	01-01-2009
	1200252	Epitaciolândia	1012009	01-01-2009
	1200302	Feijó	1012009	01-01-2009
	1200328	Jordão	1012009	01-01-2009
	1200336	Mâncio Lima	1012009	01-01-2009
	1200344	Manoel Urbano	1012009	01-01-2009
	1200351	Marechal Thaumaturgo	1012009	01-01-2009
	1200385	Plácido de Castro	1012009	01-01-2009
	1200807	Porto Acre	1012009	01-01-2009
	1200393	Porto Walter	1012009	01-01-2009
	1200401	Rio Branco	1012009	01-01-2009
	1200427	Rodrigues Alves	1012009	01-01-2009
	1200435	Santa Rosa do Purus	1012009	01-01-2009
	1200500	Sena Madureira	1012009	01-01-2009
	1200450	Senador Guiomard	1012009	01-01-2009
	1200609	Tarauacá	1012009	01-01-2009
	1200708	Xapuri	1012009	01-01-2009
	1100015	Alta Floresta D'Oeste	1012009	01-01-2009
	1100379	Alto Alegre dos Parecis	1012009	01-01-2009
	1100403	Alto Paraíso	1012009	01-01-2009
	1100346	Alvorada D'Oeste	1012009	01-01-2009
	1100023	Ariquemes	1012009	01-01-2009
	1100452	Buritis	1012009	01-01-2009
	1100031	Cabixi	1012009	01-01-2009
	1100601	Cacaulândia	1012009	01-01-2009
	1100049	Cacoal	1012009	01-01-2009
	1100700	Campo Novo de Rondônia	1012009	01-01-2009
	1100809	Candeias do Jamari	1012009	01-01-2009
	1100908	Castanheiras	1012009	01-01-2009
	1100056	Cerejeiras	1012009	01-01-2009
	1100924	Chupinguaia	1012009	01-01-2009
	1100064	Colorado do Oeste	1012009	01-01-2009
	1100072	Corumbiara	1012009	01-01-2009
	1100080	Costa Marques	1012009	01-01-2009
	1100940	Cujubim	1012009	01-01-2009
	1100098	Espigão D'Oeste	1012009	01-01-2009
	1101005	Governador Jorge Teixeira	1012009	01-01-2009
	1100106	Guajará-Mirim	1012009	01-01-2009
	1101104	Itapuã do Oeste	1012009	01-01-2009
	1100114	Jaru	1012009	01-01-2009
	1100122	Ji-Paraná	1012009	01-01-2009
	1100130	Machadinho D'Oeste	1012009	01-01-2009
	1101203	Ministro Andreazza	1012009	01-01-2009
	1101302	Mirante da Serra	1012009	01-01-2009
	1101401	Monte Negro	1012009	01-01-2009
	1100148	Nova Brasilândia D'Oeste	1012009	01-01-2009
	1100338	Nova Mamoré	1012009	01-01-2009
	1101435	Nova União	1012009	01-01-2009
	1100502	Novo Horizonte do Oeste	1012009	01-01-2009
	1100155	Ouro Preto do Oeste	1012009	01-01-2009
	1101450	Parecis	1012009	01-01-2009
	1100189	Pimenta Bueno	1012009	01-01-2009
	1101468	Pimenteiras do Oeste	1012009	01-01-2009
	1100205	Porto Velho	1012009	01-01-2009
	1100254	Presidente Médici	1012009	01-01-2009
	1101476	Primavera de Rondônia	1012009	01-01-2009
	1100262	Rio Crespo	1012009	01-01-2009
	1100288	Rolim de Moura	1012009	01-01-2009
	1100296	Santa Luzia D'Oeste	1012009	01-01-2009
	1101484	São Felipe D'Oeste	1012009	01-01-2009
	1101492	São Francisco do Guaporé	1012009	01-01-2009
	1100320	São Miguel do Guaporé	1012009	01-01-2009
	1101500	Seringueiras	1012009	01-01-2009
	1101559	Teixeirópolis	1012009	01-01-2009
	1101609	Theobroma	1012009	01-01-2009
	1101708	Urupá	1012009	01-01-2009
	1101757	Vale do Anari	1012009	01-01-2009
	1101807	Vale do Paraíso	1012009	01-01-2009
	1100304	Vilhena	1012009	01-01-2009
	1300029	Alvarães	1012009	01-01-2009
	1300060	Amaturá	1012009	01-01-2009
	1300086	Anamã	1012009	01-01-2009
	1300102	Anori	1012009	01-01-2009
	1300144	Apuí	1012009	01-01-2009
	1300201	Atalaia do Norte	1012009	01-01-2009
	1300300	Autazes	1012009	01-01-2009
	1300409	Barcelos	1012009	01-01-2009
	1300508	Barreirinha	1012009	01-01-2009
	1300607	Benjamin Constant	1012009	01-01-2009
	1300631	Beruri	1012009	01-01-2009
	1300680	Boa Vista do Ramos	1012009	01-01-2009
	1300706	Boca do Acre	1012009	01-01-2009
	1300805	Borba	1012009	01-01-2009
	1300839	Caapiranga	1012009	01-01-2009
	1300904	Canutama	1012009	01-01-2009
	1301001	Carauari	1012009	01-01-2009
	1301100	Careiro	1012009	01-01-2009
	1301159	Careiro da Várzea	1012009	01-01-2009
	1301209	Coari	1012009	01-01-2009
	1301308	Codajás	1012009	01-01-2009
	1301407	Eirunepé	1012009	01-01-2009
	1301506	Envira	1012009	01-01-2009
	1301605	Fonte Boa	1012009	01-01-2009
	1301654	Guajará	1012009	01-01-2009
	1301704	Humaitá	1012009	01-01-2009
	1301803	Ipixuna	1012009	01-01-2009
	1301852	Iranduba	1012009	01-01-2009
	1301902	Itacoatiara	1012009	01-01-2009
	1301951	Itamarati	1012009	01-01-2009
	1302009	Itapiranga	1012009	01-01-2009
	1302108	Japurá	1012009	01-01-2009
	1302207	Juruá	1012009	01-01-2009
	1302306	Jutaí	1012009	01-01-2009
	1302405	Lábrea	1012009	01-01-2009
	1302504	Manacapuru	1012009	01-01-2009
	1302553	Manaquiri	1012009	01-01-2009
	1302603	Manaus	1012009	01-01-2009
	1302702	Manicoré	1012009	01-01-2009
	1302801	Maraã	1012009	01-01-2009
	1302900	Maués	1012009	01-01-2009
	1303007	Nhamundá	1012009	01-01-2009
	1303106	Nova Olinda do Norte	1012009	01-01-2009
	1303205	Novo Airão	1012009	01-01-2009
	1303304	Novo Aripuanã	1012009	01-01-2009
	1303403	Parintins	1012009	01-01-2009
	1303502	Pauini	1012009	01-01-2009
	1303536	Presidente Figueiredo	1012009	01-01-2009
	1303569	Rio Preto da Eva	1012009	01-01-2009
	1303601	Santa Isabel do Rio Negro	1012009	01-01-2009
