codigo	descricao	data_publicacao	data_validade	data_publicacao	
0	Nacional - Tributada integralmente	1012009	31122012	01-01-2009	
10	Nacional - Tributada e com cobrança do ICMS por substituição tributária	1012009	31122012	01-01-2009	
20	Nacional - Com redução de base de cálculo	1012009	31122012	01-01-2009	
30	Nacional - Isenta ou não tributada e com cobrança do ICMS por substituição tributária	1012009	31122012	01-01-2009	
40	Nacional - Isenta	1012009	31122012	01-01-2009	
41	Nacional - Não tributada	1012009	31122012	01-01-2009	
50	Nacional - Suspensão	1012009	31122012	01-01-2009	
51	Nacional - Diferimento	1012009	31122012	01-01-2009	
60	Nacional - ICMS cobrado anteriormente por substituição tributária	1012009	31122012	01-01-2009	
70	Nacional - Com redução de base de cálculo e cobrança do ICMS por substituição tributária	1012009	31122012	01-01-2009	
90	Nacional - Outras	1012009	31122012	01-01-2009	
100	Estrangeira - Importação direta - Tributada integralmente	1012009	31122012	01-01-2009	
110	Estrangeira - Importação direta - Tributada e com cobrança do ICMS por substituição tributária	1012009	31122012	01-01-2009	
120	Estrangeira - Importação direta - Com redução de base de cálculo	1012009	31122012	01-01-2009	
130	Estrangeira - Importação direta - Isenta ou não tributada e com cobrança do ICMS por substituição tributária	1012009	31122012	01-01-2009	
140	Estrangeira - Importação direta - Isenta	1012009	31122012	01-01-2009	
141	Estrangeira - Importação direta - Não tributada	1012009	31122012	01-01-2009	
150	Estrangeira - Importação direta - Suspensão	1012009	31122012	01-01-2009	
151	Estrangeira - Importação direta - Diferimento	1012009	31122012	01-01-2009	
160	Estrangeira - Importação direta - ICMS cobrado anteriormente por substituição tributária	1012009	31122012	01-01-2009	
170	Estrangeira - Importação direta - Com redução de base de cálculo e cobrança do ICMS por substituição tributária	1012009	31122012	01-01-2009	
190	Estrangeira - Importação direta - Outras	1012009	31122012	01-01-2009	
200	Estrangeira - Adquirida no mercado interno - Tributada integralmente	1012009	31122012	01-01-2009	
210	Estrangeira - Adquirida no mercado interno - Tributada e com cobrança do ICMS por substituição tributária	1012009	31122012	01-01-2009	
220	Estrangeira - Adquirida no mercado interno - Com redução de base de cálculo	1012009	31122012	01-01-2009	
230	Estrangeira - Adquirida no mercado interno - Isenta ou não tributada e com cobrança do ICMS por substituição tributária	1012009	31122012	01-01-2009	
240	Estrangeira - Adquirida no mercado interno - Isenta	1012009	31122012	01-01-2009	
241	Estrangeira - Adquirida no mercado interno - Não tributada	1012009	31122012	01-01-2009	
250	Estrangeira - Adquirida no mercado interno - Suspensão	1012009	31122012	01-01-2009	
251	Estrangeira - Adquirida no mercado interno - Diferimento	1012009	31122012	01-01-2009	
260	Estrangeira - Adquirida no mercado interno - ICMS cobrado anteriormente por substituição tributária	1012009	31122012	01-01-2009	
270	Estrangeira - Adquirida no mercado interno - Com redução de base de cálculo e cobrança do ICMS por substituição tributária	1012009	31122012	01-01-2009	
290	Estrangeira - Adquirida no mercado interno - Outras	1012009	31122012	01-01-2009	
101	Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito	1102010		01-10-2010	
102	Simples Nacional - Tributada pelo Simples Nacional sem permissão de crédito	1102010		01-10-2010	
103	Simples Nacional - Isenção do ICMS no Simples Nacional para faixa de receita bruta	1102010		01-10-2010	
201	Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito e com cobrança do ICMS por substituição tributária	1102010		01-10-2010	
202	Simples Nacional - Tributada pelo Simples Nacional sem permissão de crédito e com cobrança do ICMS por substituição tributária	1102010		01-10-2010	
203	Simples Nacional - Isenção do ICMS no Simples Nacional para faixa de receita bruta e com cobrança do ICMS por substituição tributária	1102010		01-10-2010	
300	Simples Nacional - Imune	1102010	31122012	01-10-2010	
400	Simples Nacional - Não tributada pelo Simples Nacional	1102010	31122012	01-10-2010	
500	Simples Nacional - ICMS cobrado anteriormente por substituição tributária (substituído) ou por antecipação	1102010	31122012	01-10-2010	
900	Simples Nacional - Outros	1102010		01-10-2010	
0	Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Tributada integralmente	1012013	31072013	01-01-2013	
10	Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Tributada e com cobrança do ICMS por substituição tributária	1012013	31072013	01-01-2013	
20	Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Com redução de base de cálculo	1012013	31072013	01-01-2013	
30	Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Isenta ou não tributada e com cobrança do ICMS por substituição tributária	1012013	31072013	01-01-2013	
40	Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Isenta	1012013	31072013	01-01-2013	
41	Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Não tributada	1012013	31072013	01-01-2013	
50	Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Suspensão	1012013	31072013	01-01-2013	
51	Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Diferimento	1012013	31072013	01-01-2013	
60	Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - ICMS cobrado anteriormente por substituição tributária	1012013	31072013	01-01-2013	
70	Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Com redução de base de cálculo e cobrança do ICMS por substituição tributária	1012013	31072013	01-01-2013	
90	Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Outras	1012013	31072013	01-01-2013	
0	Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Tributada integralmente	1082013		01-08-2013	
10	Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Tributada e com cobrança do ICMS por substituição tributária	1082013		01-08-2013	
20	Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Com redução de base de cálculo	1082013		01-08-2013	
30	Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Isenta ou não tributada e com cobrança do ICMS por substituição tributária	1082013		01-08-2013	
40	Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Isenta	1082013		01-08-2013	
41	Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Não tributada	1082013		01-08-2013	
50	Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Suspensão	1082013		01-08-2013	
51	Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Diferimento	1082013		01-08-2013	
60	Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - ICMS cobrado anteriormente por substituição tributária	1082013		01-08-2013	
