codigo,unidade,data_publicacao,descricao_unidade,id
87087090,UN,2016-01-01,Unidade,
87088000,UN,2016-01-01,Unidade,
87089100,UN,2016-01-01,Unidade,
87089200,UN,2016-01-01,Unidade,
87089300,UN,2016-01-01,Unidade,
87089411,UN,2016-01-01,Unidade,
87089412,UN,2016-01-01,Unidade,
87089413,UN,2016-01-01,Unidade,
87089481,UN,2016-01-01,Unidade,
87089482,UN,2016-01-01,Unidade,
87089483,UN,2016-01-01,Unidade,
87089490,KG,2016-01-01,Quilograma,
87089510,UN,2016-01-01,Unidade,
87089521,UN,2016-01-01,Unidade,
87089522,UN,2016-01-01,Unidade,
87089529,UN,2016-01-01,Unidade,
87089910,KG,2016-01-01,Quilograma,
87089990,KG,2016-01-01,Quilograma,
87091100,UN,2016-01-01,Unidade,
87091900,UN,2016-01-01,Unidade,
87099000,KG,2016-01-01,Quilograma,
87100000,UN,2016-01-01,Unidade,
87111000,UN,2016-01-01,Unidade,
87112010,UN,2016-01-01,Unidade,
87112020,UN,2016-01-01,Unidade,
87112090,UN,2016-01-01,Unidade,
87113000,UN,2016-01-01,Unidade,
87114000,UN,2016-01-01,Unidade,
87115000,UN,2016-01-01,Unidade,
87116000,UN,01-01-2017,Unidade,
87119000,UN,2016-01-01,Unidade,
87120010,UN,2016-01-01,Unidade,
87120090,UN,2016-01-01,Unidade,
87131000,UN,2016-01-01,Unidade,
87139000,UN,2016-01-01,Unidade,
87141000,KG,2016-01-01,Quilograma,
87142000,KG,2016-01-01,Quilograma,
87149100,KG,2016-01-01,Quilograma,
87149200,KG,2016-01-01,Quilograma,
87149310,KG,2016-01-01,Quilograma,
87149320,KG,2016-01-01,Quilograma,
87149410,KG,2016-01-01,Quilograma,
87149490,KG,2016-01-01,Quilograma,
87149500,UN,2016-01-01,Unidade,
87149600,KG,2016-01-01,Quilograma,
87149910,KG,2016-01-01,Quilograma,
87149990,KG,2016-01-01,Quilograma,
87150000,KG,2016-01-01,Quilograma,
87161000,UN,2016-01-01,Unidade,
87162000,UN,2016-01-01,Unidade,
87163100,UN,2016-01-01,Unidade,
87163900,UN,2016-01-01,Unidade,
87164000,UN,2016-01-01,Unidade,
87168000,UN,2016-01-01,Unidade,
87169010,UN,2016-01-01,Unidade,
87169090,KG,2016-01-01,Quilograma,
88010000,UN,2016-01-01,Unidade,
88021100,UN,2016-01-01,Unidade,
88021210,UN,2016-01-01,Unidade,
88021290,UN,2016-01-01,Unidade,
88022010,UN,2016-01-01,Unidade,
88022021,UN,2016-01-01,Unidade,
88022022,UN,2016-01-01,Unidade,
88022090,UN,2016-01-01,Unidade,
88023010,UN,2016-01-01,Unidade,
88023021,UN,2016-01-01,Unidade,
88023029,UN,2016-01-01,Unidade,
88023031,UN,2016-01-01,Unidade,
88023039,UN,2016-01-01,Unidade,
88023090,UN,2016-01-01,Unidade,
88024010,UN,2016-01-01,Unidade,
88024090,UN,2016-01-01,Unidade,
88026000,UN,2016-01-01,Unidade,
88031000,KG,2016-01-01,Quilograma,
88032000,KG,2016-01-01,Quilograma,
88033000,KG,2016-01-01,Quilograma,
88039000,KG,2016-01-01,Quilograma,
88040000,KG,2016-01-01,Quilograma,
88051000,KG,2016-01-01,Quilograma,
88052100,KG,2016-01-01,Quilograma,
88052900,KG,2016-01-01,Quilograma,
89011000,UN,2016-01-01,Unidade,
89012000,UN,2016-01-01,Unidade,
89013000,UN,2016-01-01,Unidade,
89019000,UN,2016-01-01,Unidade,
89020010,UN,2016-01-01,Unidade,
89020090,UN,2016-01-01,Unidade,
89031000,UN,2016-01-01,Unidade,
89039100,UN,2016-01-01,Unidade,
89039200,UN,2016-01-01,Unidade,
