codigo,unidade,data_publicacao,descricao_unidade,id
51071011,KG,2016-01-01,Quilograma,
51071019,KG,2016-01-01,Quilograma,
51071090,KG,2016-01-01,Quilograma,
51072000,KG,2016-01-01,Quilograma,
51081000,KG,2016-01-01,Quilograma,
51082000,KG,2016-01-01,Quilograma,
51091000,KG,2016-01-01,Quilograma,
51099000,KG,2016-01-01,Quilograma,
51100000,KG,2016-01-01,Quilograma,
51111110,KG,2016-01-01,Quilograma,
51111120,KG,2016-01-01,Quilograma,
51111900,KG,2016-01-01,Quilograma,
51112000,KG,2016-01-01,Quilograma,
51113010,KG,2016-01-01,Quilograma,
51113090,KG,2016-01-01,Quilograma,
51119000,KG,2016-01-01,Quilograma,
51121100,KG,2016-01-01,Quilograma,
51121910,KG,2016-01-01,Quilograma,
51121920,KG,2016-01-01,Quilograma,
51122010,KG,2016-01-01,Quilograma,
51122020,KG,2016-01-01,Quilograma,
51123010,KG,2016-01-01,Quilograma,
51123020,KG,2016-01-01,Quilograma,
51129000,KG,2016-01-01,Quilograma,
51130011,KG,2016-01-01,Quilograma,
51130012,KG,2016-01-01,Quilograma,
51130013,KG,2016-01-01,Quilograma,
51130020,KG,2016-01-01,Quilograma,
52010010,TON,2016-01-01,Tonel Metr Liquida,
52010020,TON,2016-01-01,Tonel Metr Liquida,
52010090,TON,2016-01-01,Tonel Metr Liquida,
52021000,KG,2016-01-01,Quilograma,
52029100,KG,2016-01-01,Quilograma,
52029900,KG,2016-01-01,Quilograma,
52030000,KG,2016-01-01,Quilograma,
52041111,KG,2016-01-01,Quilograma,
52041112,KG,2016-01-01,Quilograma,
52041120,KG,2016-01-01,Quilograma,
52041131,KG,2016-01-01,Quilograma,
52041132,KG,2016-01-01,Quilograma,
52041140,KG,2016-01-01,Quilograma,
52041911,KG,2016-01-01,Quilograma,
52041912,KG,2016-01-01,Quilograma,
52041920,KG,2016-01-01,Quilograma,
52041931,KG,2016-01-01,Quilograma,
52041932,KG,2016-01-01,Quilograma,
52041940,KG,2016-01-01,Quilograma,
52042000,KG,2016-01-01,Quilograma,
52051100,KG,2016-01-01,Quilograma,
52051200,KG,2016-01-01,Quilograma,
52051310,KG,2016-01-01,Quilograma,
52051390,KG,2016-01-01,Quilograma,
52051400,KG,2016-01-01,Quilograma,
52051500,KG,2016-01-01,Quilograma,
52052100,KG,2016-01-01,Quilograma,
52052200,KG,2016-01-01,Quilograma,
52052310,KG,2016-01-01,Quilograma,
52052390,KG,2016-01-01,Quilograma,
52052400,KG,2016-01-01,Quilograma,
52052600,KG,2016-01-01,Quilograma,
52052700,KG,2016-01-01,Quilograma,
52052800,KG,2016-01-01,Quilograma,
52053100,KG,2016-01-01,Quilograma,
52053200,KG,2016-01-01,Quilograma,
